Well,Protein Name,Gene Symbol,Cq_mr108_pos,Cq_mr111_pos,Cq_mr113_pos,Cq_mr89_pos,Cq_mr97_pos,Cq_mr98_pos,Cq_mr108_neg,Cq_mr111_neg,Cq_mr113_neg,Cq_mr89_neg,Cq_mr97_neg,Cq_mr98_neg,Class,TWS opdeling,Norm_mr108_pos,Norm_mr111_pos,Norm_mr113_pos,Norm_mr89_pos,Norm_mr97_pos,Norm_mr98_pos,Norm_mr108_neg,Norm_mr111_neg,Norm_mr113_neg,Norm_mr89_neg,Norm_mr97_neg,Norm_mr98_neg,log2_Norm_mr108_pos,log2_Norm_mr111_pos,log2_Norm_mr113_pos,log2_Norm_mr89_pos,log2_Norm_mr97_pos,log2_Norm_mr98_pos,log2_Norm_mr108_neg,log2_Norm_mr111_neg,log2_Norm_mr113_neg,log2_Norm_mr89_neg,log2_Norm_mr97_neg,log2_Norm_mr98_neg,pvalues,-log10(pvalue),log2_FC
A01,Chemokine binding protein 2,Ackr2,34.65,40,33.62,30.82,40,32.69,32.54,31.44,33.13,39.42,32.61,37.23,A,Chemokine receptors,1.274560627,0.03125,2.602683711,18.12614216,0.03125,4.9588308,5.502167273,11.79415374,3.655325801,0.046714039,5.241573615,0.213158723,0.35,-5,1.38,4.18,-5,2.31,2.46,3.56,1.87,-4.42,2.39,-2.23,0.667535363,0.175525722,-0.901666667
A02,Chemokine (C-X-C motif) receptor 7,Ackr3,26.87,26.76,29.46,25.76,23.57,25.29,25.03,24.59,27.76,33.82,25.39,24.95,A,Chemokine receptors,280.1391875,302.3341213,46.52712055,604.6682427,2759.134365,837.531708,1002.926385,1360.574274,151.1670607,2.265767771,781.444715,1060.111282,8.13,8.24,5.54,9.24,11.43,9.71,9.97,10.41,7.24,1.18,9.61,10.05,0.708890253,0.149420995,0.638333333
A03,Chemokine (C-C motif) receptor-like 1,Ackr4,26.77,29.83,32.94,28.44,26.72,28.93,28.07,29.57,29.07,40,25.69,29.77,A,Chemokine receptors,300.245747,36.00187151,4.169863043,94.35322991,310.8338904,67.18186775,121.9376637,43.11147446,60.96883187,0.03125,634.7303424,37.53071838,8.23,5.17,2.06,6.56,8.28,6.07,6.93,5.43,5.93,-5,9.31,5.23,0.537790916,0.269386537,1.423333333
A04,Adenylate cyclase activating polypeptide 1 receptor 1,Adcyap1r1,22.3,24.24,22.56,21.2,21.16,21.84,21.69,22.21,22.51,22.49,20.52,22.1,B,Family B Hormone receptors,6653.971631,1734.1344,5556.651325,14263.10043,14664.09076,9152.816235,10155.68548,7082.288999,5752.606211,5832.909601,22851.48023,7643.406267,12.7,10.76,12.44,13.8,13.84,13.16,13.31,12.79,12.49,12.51,14.48,12.9,0.606039949,0.217498747,-0.296666667
A05,Adenosine A1 receptor,Adora1,27.99,40,33.74,26.58,25.88,28.87,29.68,27.78,29.79,29.12,22.76,32.94,A,Nucloside/nucleotide receptors,128.8903104,0.03125,2.394957409,342.509454,556.4082496,70.03479688,39.94657756,149.0858991,37.01402188,58.89200964,4837.345941,4.169863043,7.01,-5,1.26,8.42,9.12,6.13,5.32,7.22,5.21,5.88,12.24,2.06,0.497253891,0.30342181,-1.831666667
A06,Adenosine A2a receptor,Adora2a,27.74,28.25,33.1,26.89,29.84,29.84,25.96,26.68,23.98,35.67,31.62,26.11,A,Nucloside/nucleotide receptors,153.2772742,107.6347412,3.732131966,276.2824285,35.75318842,35.75318842,526.3942792,319.5726205,2076.589015,0.628506687,10.41073484,474.4130877,7.26,6.75,1.9,8.11,5.16,5.16,9.04,8.32,11.02,-0.67,3.38,8.89,0.650119476,0.187006823,-0.94
A07,Adenosine A2b receptor,Adora2b,32.58,40,34.75,32.92,40,40,32.85,37.38,35.25,40,40,40,A,Nucloside/nucleotide receptors,5.351710219,0.03125,1.189207115,4.228072162,0.03125,0.03125,4.438277888,0.192109398,0.840896415,0.03125,0.03125,0.03125,2.42,-5,0.25,2.08,-5,-5,2.15,-2.38,-0.25,-5,-5,-5,0.663116737,0.178410011,0.871666667
A08,Adenosine A3 receptor,Adora3,36.54,40,34.91,40,30.18,40,36.47,35.2,34.89,40,25.57,27.29,A,Nucloside/nucleotide receptors,0.343885455,0.03125,1.064370182,0.03125,28.24649588,0.03125,0.360982299,0.870550563,1.079228237,0.03125,689.7835914,209.382927,-1.54,-5,0.09,-5,4.82,-5,-1.47,-0.2,0.11,-5,9.43,7.71,0.215417127,0.666719771,-3.701666667
A09,"Adrenergic receptor, alpha 1a",Adra1a,28.91,40,26.59,27.26,26.58,29.6,26.96,27.92,28.01,25.56,27.25,28.81,A,Neurotransmitter receptors,68.11969168,0.03125,340.1435684,213.7825074,342.509454,42.22425314,263.1971396,135.2983092,127.1158394,694.5814157,215.2694823,73.00887782,6.09,-5,8.41,7.74,8.42,5.4,8.04,7.08,6.99,9.44,7.75,6.19,0.288716832,0.539527896,-2.405
A10,"Adrenergic receptor, alpha 1b",Adra1b,24.23,40,28.53,23.71,23.86,24.7,27.02,27.15,27.18,25.43,24.49,27.08,A,Neurotransmitter receptors,1746.196258,0.03125,88.64700596,2503.967289,2256.701677,1260.691879,252.4755724,230.7201184,225.9719671,760.0760682,1458.2274,242.1907576,10.77,-5,6.47,11.29,11.14,10.3,7.98,7.85,7.82,9.57,10.51,7.92,0.682846189,0.16567711,-1.113333333
A11,"Adrenergic receptor, alpha 1d",Adra1d,31.77,35.85,31.78,34.15,33.97,34.22,33.02,32.98,31.51,36.11,34.43,33.22,A,Neurotransmitter receptors,9.382679594,0.554784736,9.317868692,1.802500925,2.042024251,1.717130873,3.944930818,4.055837919,11.23555901,0.463294031,1.484523571,3.434261746,3.23,-0.85,3.22,0.85,1.03,0.78,1.98,2.02,3.49,-1.11,0.57,1.78,0.93297424,0.030130347,-0.078333333
A12,"Adrenergic receptor, alpha 2a",Adra2a,28.83,38.37,34.71,25.92,27.2,27.98,31.45,31.82,33.76,25.97,25.36,28.96,A,Neurotransmitter receptors,72.00374302,0.096722812,1.222640278,541.1932368,222.8609442,129.7868134,11.71268557,9.063071082,2.361985323,522.7582084,797.8645296,65.79928491,6.17,-3.37,0.29,9.08,7.8,7.02,3.55,3.18,1.24,9.03,9.64,6.04,0.705099653,0.151749499,-0.948333333
A13,"Adrenergic receptor, alpha 2b",Adra2b,31.62,33.98,32.66,27,29.53,35.51,32.54,29.81,35.02,40,29.02,37.68,A,Neurotransmitter receptors,10.41073484,2.02791896,5.063026376,256,44.32350298,0.702222438,5.502167273,36.50443891,0.986232704,0.03125,63.11889309,0.156041319,3.38,1.02,2.34,8,5.47,-0.51,2.46,5.19,-0.02,-5,5.98,-2.68,0.317127361,0.498766287,2.295
A14,"Adrenergic receptor, alpha 2c",Adra2c,28.14,32.1,31.76,29.49,27.44,27.65,28.87,28.49,29.32,26.48,26.59,30.29,A,Neurotransmitter receptors,116.1624519,7.464263932,9.447941291,45.56960626,188.7064598,163.1437603,70.03479688,91.13921252,51.26847217,367.0925435,340.1435684,26.17286587,6.86,2.9,3.24,5.51,7.56,7.35,6.13,6.51,5.68,8.52,8.41,4.71,0.322751078,0.491132299,-1.09
A15,"Adrenergic receptor, beta 1",Adrb1,28.79,34.12,31.47,30.09,27.62,36.55,31.01,26.71,31.31,37.37,37.01,37.07,A,Neurotransmitter receptors,74.02804377,1.840375301,11.55143356,30.06472797,166.5717575,0.341510064,15.88947993,312.9959111,12.90626815,0.193445624,0.248273124,0.2381595,6.21,0.88,3.53,4.91,7.38,-1.55,3.99,8.29,3.69,-2.37,-2.01,-2.07,0.403946899,0.393675722,1.973333333
A16,"Adrenergic receptor, beta 2",Adrb2,29.77,29.19,40,29.29,33.77,32.51,29.7,31.66,27.51,40,24.69,28.11,A,Neurotransmitter receptors,37.53071838,56.10276616,0.03125,52.34573175,2.345669898,5.617779503,39.39662123,10.12605275,179.7689441,0.03125,1269.460685,118.6032719,5.23,5.81,-5,5.71,1.23,2.49,5.3,3.34,7.49,-5,10.31,6.89,0.4538106,0.343125364,-2.143333333
A17,"Adrenergic receptor, beta 3",Adrb3,27.11,36.55,32.65,27.44,26.61,26.81,33.01,31.64,33.05,40,29.15,36.87,A,Neurotransmitter receptors,237.2065438,0.341510064,5.098242509,188.7064598,335.4607114,292.0355113,3.972369982,10.26740718,3.863745316,0.03125,57.68002961,0.273573425,7.89,-1.55,2.35,7.56,8.39,8.19,1.99,3.36,1.95,-5,5.85,-1.87,0.084655999,1.072342259,4.425
A18,"Angiotensin II receptor, type 1a",Agtr1a,31.8,40,40,27.45,29.32,29.55,40,30.16,36.04,40,40,40,A,Peptide hormone receptors,9.18958684,0.03125,0.03125,187.4029691,51.26847217,43.71328822,0.03125,28.64080227,0.486327474,0.03125,0.03125,0.03125,3.2,-5,-5,7.55,5.68,5.45,-5,4.84,-1.04,-5,-5,-5,0.126480593,0.897976106,4.68
A19,"Angiotensin II receptor, type 1b",Agtr1b,27.06,38.38,31.11,29.47,33.76,40,33.93,36.52,29.85,40,29.51,34.59,A,Peptide hormone receptors,245.5716145,0.096054699,14.82540899,46.20573426,2.361985323,0.03125,2.099433367,0.348685917,35.50622311,0.03125,44.94223602,1.328685814,7.94,-3.38,3.89,5.53,1.24,-5,1.07,-1.52,5.15,-5,5.49,0.41,0.776648145,0.109775691,0.77
A20,"Angiotensin II receptor, type 2",Agtr2,27.28,25.59,30.66,25.99,26.48,27.06,28.67,25.62,27.55,40,29.27,25.57,A,Peptide hormone receptors,210.8393004,680.2871368,20.2521055,515.5612416,367.0925435,245.5716145,80.44885597,666.28703,174.8531529,0.03125,53.07645093,689.7835914,7.72,9.41,4.34,9.01,8.52,7.94,6.33,9.38,7.45,-5,5.73,9.43,0.351461605,0.454122112,2.27
A21,Apelin receptor,Aplnr,28.52,34.87,38.54,27.34,27.23,28.63,28.67,28.76,28.74,40,27.97,32.18,A,Neuropeptide receptors,89.26359465,1.094293701,0.085971364,202.2505758,218.2745323,82.71058116,80.44885597,75.58353033,76.6386371,0.03125,130.6895521,7.06162397,6.48,0.13,-3.54,7.66,7.77,6.37,6.33,6.24,6.26,-5,7.03,2.82,0.942824415,0.02556918,0.198333333
A22,Arginine vasopressin receptor 1A,Avpr1a,25.36,36.74,32.28,24.78,24.9,25.22,26.85,25.49,25.75,26.49,28.19,32.08,A,Peptide hormone receptors,797.8645296,0.299369676,6.588728138,1192.687193,1097.496026,879.1710069,284.0497848,729.1137001,608.8740429,364.5568501,112.2055323,7.568461174,9.64,-1.74,2.72,10.22,10.1,9.78,8.15,9.51,9.25,8.51,6.81,2.92,0.755107193,0.121991392,-0.738333333
A23,Arginine vasopressin receptor 1B,Avpr1b,34.06,39.25,33.46,40,40,40,35.74,34.58,33.87,40,40,39.14,A,Peptide hormone receptors,1.918528239,0.052556026,2.907945035,0.03125,0.03125,0.03125,0.598739352,1.337927555,2.188587403,0.03125,0.03125,0.056719947,0.94,-4.25,1.54,-5,-5,-5,-0.74,0.42,1.13,-5,-5,-4.14,0.746067301,0.127221994,-0.573333333
A24,Arginine vasopressin receptor 2,Avpr2,30.7,32.97,30.03,33.84,33.79,32.44,31.65,28.56,30.11,29.83,32.75,33.03,A,Peptide hormone receptors,19.69831061,4.084048503,31.34144952,2.234574276,2.313376368,5.897076869,10.19648502,86.82267696,29.65081798,36.00187151,4.75682846,3.91768119,4.3,2.03,4.97,1.16,1.21,2.56,3.35,6.44,4.89,5.17,2.25,1.97,0.209651256,0.678502531,-1.306666667
B01,Brain-specific angiogenesis inhibitor 1,Adgrb1,31.58,36,35.52,31.13,28.26,33.15,35.07,33.46,33.89,40,32.3,31.04,B,Family B Adhesion Receptors,10.70342044,0.5,0.697371833,14.6213032,106.8912537,3.60500185,0.952637998,2.907945035,2.158456473,0.03125,6.498019171,15.56247916,3.42,-1,-0.52,3.87,6.74,1.85,-0.07,1.54,1.11,-5,2.7,3.96,0.355691109,0.448926991,1.686666667
B02,Brain-specific angiogenesis inhibitor 2,Adgrb2,33.48,37.43,33.96,32.79,33.02,35.06,36.25,33.56,33.93,40,36.85,39.98,B,Family B Adhesion Receptors,2.867910496,0.185565446,2.056227653,4.626752736,3.944930818,0.959264119,0.420448208,2.713208655,2.099433367,0.03125,0.277392368,0.031686234,1.52,-2.43,1.04,2.21,1.98,-0.06,-1.25,1.44,1.07,-5,-1.85,-4.98,0.096476371,1.015579042,2.471666667
B03,Brain-specific angiogenesis inhibitor 3,Adgrb3,21.45,23.49,22.99,21.11,20.56,21.68,21.08,20.96,21.54,20.42,20.45,22.2,B,Family B Adhesion Receptors,11993.79002,2916.454801,4124.489933,15181.21881,22226.6053,10226.32386,15500.20848,16844.61694,11268.43857,24491.61009,23987.58004,7131.550215,13.55,11.51,12.01,13.89,14.44,13.32,13.92,14.04,13.46,14.58,14.55,12.8,0.182213034,0.73942056,-0.771666667
B04,"Bradykinin receptor, beta 1",Bdkrb1,40,40,40,40,33.28,40,40,37.88,39.52,40,40,40,A,Inflammation peptide receptors,0.03125,0.03125,0.03125,0.03125,3.294364069,0.03125,0.03125,0.135841858,0.04358574,0.03125,0.03125,0.03125,-5,-5,-5,-5,1.72,-5,-5,-2.88,-4.52,-5,-5,-5,0.571037123,0.243335658,0.686666667
B05,"Bradykinin receptor, beta 2",Bdkrb2,35.14,37.89,33.19,31.01,38.09,40,35.51,34.11,34.71,40,36.89,40,A,Inflammation peptide receptors,0.907519155,0.13490353,3.506422885,15.88947993,0.117440344,0.03125,0.702222438,1.853176124,1.222640278,0.03125,0.269807059,0.03125,-0.14,-2.89,1.81,3.99,-3.09,-5,-0.51,0.89,0.29,-5,-1.89,-5,0.585042892,0.232812293,0.983333333
B06,Bombesin-like receptor 3,Brs3,34.02,40,40,34.55,34.01,40,31.73,37.1,33.75,40,40,35.91,A,Neuropeptide receptors,1.972465409,0.03125,0.03125,1.366040257,1.986184991,0.03125,9.646462622,0.233258248,2.37841423,0.03125,0.03125,0.532185091,0.98,-5,-5,0.45,0.99,-5,3.27,-2.1,1.25,-5,-5,-0.91,0.724724229,0.139827219,-0.681666667
B07,Complement component 3a receptor 1,C3ar1,35.05,30.69,40,29.31,27.3,28.51,33.69,30.69,40,32.81,27.46,23.3,A,Inflammation peptide receptors,0.965936329,19.8353232,0.03125,51.62507259,207.9366135,89.88447205,2.4794154,19.8353232,0.03125,4.563054863,186.1084822,3326.985815,-0.05,4.31,-5,5.69,7.7,6.49,1.31,4.31,-5,2.19,7.54,11.7,0.876828055,0.057085563,-0.485
B08,Complement component 5a receptor 1,C5ar1,33.06,35.02,36.18,31.82,40,40,38.02,38.05,36.47,40,29.75,26.8,A,Inflammation peptide receptors,3.837056477,0.986232704,0.441351498,9.063071082,0.03125,0.03125,0.123279088,0.120742041,0.360982299,0.03125,38.05462768,294.0667789,1.94,-0.02,-1.18,3.18,-5,-5,-3.02,-3.05,-1.47,-5,5.25,8.2,0.660963085,0.179822795,-1.165
B09,G protein-coupled receptor 77,C5ar2,36.86,38.29,34.58,40,40,40,37.11,36.2,34.73,40,40,40,A,Inflammation peptide receptors,0.275476279,0.102237757,1.337927555,0.03125,0.03125,0.03125,0.231647015,0.435275282,1.205807828,0.03125,0.03125,0.03125,-1.86,-3.29,0.42,-5,-5,-5,-2.11,-1.2,0.27,-5,-5,-5,0.833797886,0.07893921,-0.281666667
B10,Calcitonin receptor,Calcr,27.82,35.16,30.48,27.07,26.34,26.9,27.92,26.93,30.15,33.47,25.62,26.9,B,Family B Hormone receptors,145.0091373,0.895025071,22.94328397,243.8753275,404.5011517,274.3740064,135.2983092,268.727471,28.8400148,2.887858391,666.28703,274.3740064,7.18,-0.16,4.52,7.93,8.66,8.1,7.08,8.07,4.85,1.53,9.38,8.1,0.802686081,0.095454268,-0.463333333
B11,Calcitonin receptor-like,Calcrl,25.77,32.28,28.99,24.74,24.61,24.82,24.82,25.53,28.83,27.87,32.17,25.6,B,Family B Hormone receptors,600.491494,6.588728138,64.4451552,1226.218194,1341.842846,1160.073099,1160.073099,709.1760477,72.00374302,140.0695938,7.110741449,675.5880503,9.23,2.72,6.01,10.26,10.39,10.18,10.18,9.47,6.17,7.13,2.83,9.4,0.731487888,0.13579286,0.601666667
B12,Calcium-sensing receptor,Casr,23.91,29.51,24.68,22.02,22.27,20.82,28.81,29.98,28.91,25.53,24.36,23.55,C,Chemosensors,2179.830134,44.94223602,1278.290482,8079.218315,6793.785719,18561.16958,73.00887782,32.44670335,68.11969168,709.1760477,1595.729059,2797.650446,11.09,5.49,10.32,12.98,12.73,14.18,6.19,5.02,6.09,9.47,10.64,11.45,0.105267667,0.977705004,2.988333333
B13,Cholecystokinin A receptor,Cckar,28.81,40,36.99,27.05,27.14,27.24,29.59,30.54,28.83,40,29.88,40,A,Peptide hormone receptors,73.00887782,0.03125,0.251738888,247.2797002,232.3249038,216.7668,42.51794605,22.00866909,72.00374302,0.03125,34.7755156,0.03125,6.19,-5,-1.99,7.95,7.86,7.76,5.41,4.46,6.17,-5,5.12,-5,0.559827276,0.251945946,1.935
B14,Cholecystokinin B receptor,Cckbr,28.96,40,31.67,28.61,28.78,30.68,30.77,31.59,29.78,40,25.34,29.65,A,Peptide hormone receptors,65.79928491,0.03125,10.056107,83.86517785,74.54294953,19.97328878,18.76535919,10.62948651,37.27147477,0.03125,809.0023033,40.78594007,6.04,-5,3.33,6.39,6.22,4.32,4.23,3.41,5.22,-5,9.66,5.35,0.92347472,0.034574989,-0.261666667
B15,Chemokine (C-C motif) receptor 1,Ccr1,35.47,36.04,33.73,40,40,40,35.25,34.21,34.48,40,34.64,32.45,A,Chemokine receptors,0.721964598,0.486327474,2.411615655,0.03125,0.03125,0.03125,0.840896415,1.729074463,1.433955248,0.03125,1.283425898,5.856342784,-0.47,-1.04,1.27,-5,-5,-5,-0.25,0.79,0.52,-5,0.36,2.55,0.156324062,0.805974168,-2.368333333
B16,Chemokine (C-C motif) receptor 10,Ccr10,32.77,40,25.86,31.61,30.82,40,40,37.98,37.57,40,40,40,A,Chemokine receptors,4.691339797,0.03125,564.1754193,10.48314723,18.12614216,0.03125,0.03125,0.126744935,0.168404197,0.03125,0.03125,0.03125,2.23,-5,9.14,3.39,4.18,-5,-5,-2.98,-2.57,-5,-5,-5,0.032399177,1.489466019,5.748333333
B17,Chemokine (C-C motif) receptor 1-like 1,Ccr1l1,34.51,40,36.11,40,39.22,40,40,35.5,36.73,40,40,40,A,Chemokine receptors,1.404444876,0.03125,0.463294031,0.03125,0.05366034,0.03125,0.03125,0.707106781,0.301451957,0.03125,0.03125,0.03125,0.49,-5,-1.11,-5,-4.22,-5,-5,-0.5,-1.73,-5,-5,-5,0.762981407,0.117486045,0.398333333
B18,Chemokine (C-C motif) receptor 2,Ccr2,31.49,35.2,31.37,36.65,33.14,35.77,33.71,31.89,30.95,36.28,23.77,37.06,A,Chemokine receptors,11.39240156,0.870550563,12.38051995,0.318640157,3.630076621,0.586417475,2.445280555,8.633825892,16.56423878,0.411795509,2401.965976,0.23981603,3.51,-0.2,3.63,-1.65,1.86,-0.77,1.29,3.11,4.05,-1.28,11.23,-2.06,0.461177074,0.33613229,-1.66
B19,Chemokine (C-C motif) receptor 3,Ccr3,40,40,34.06,32.56,31.97,40,33.71,34.59,38.18,40,28.29,28.23,A,Chemokine receptors,0.03125,0.03125,1.918528239,5.42641731,8.168097006,0.03125,2.445280555,1.328685814,0.110337875,0.03125,104.6914635,109.1372661,-5,-5,0.94,2.44,3.03,-5,1.29,0.41,-3.18,-5,6.71,6.77,0.336083478,0.473552837,-2.598333333
